arm,draft_cache_response_ms,draft_cache_to_send_gap_ms,draft_compact_gpu_ms,draft_kv_restore_ms,draft_pack_generated_ms,draft_pack_served_ms,draft_parent_q_gather_ms,draft_recv_request_ms,draft_rerank_ms,draft_response_pack_ms,draft_select_subtree_ms,draft_send_fused_ms,draft_send_q_ms,draft_send_response_ms,draft_service_to_send_end_ms,repeat,status,steps,target_full_profile_ms,target_meta_read_ms,target_parent_q_select_ms,target_postverify_ms,target_preverify_gap_ms,target_recv_fused_ms,target_recv_q_ms,target_recv_wait_ms,target_send_request_ms,target_spec_wait_ms,target_topology_cpu_pack_ms,target_topology_h2d_ms,target_topology_prepare_ms,target_verify_profile_ms,target_wire_validate_ms,verify_accept_core_ms,verify_accept_prep_ms,verify_attn_buffers_ms,verify_exit_proxy_ms,verify_final_logits_ms,verify_graph_post_ms,verify_graph_pre_ms,verify_input_copy_ms,verify_kv_commit_ms,verify_sample_accept_ms,verify_setup_ms,verify_tree_mask_ms,verify_tree_meta_ms
full_tree,3.3542406511142713,0.07880814578555045,0.23921107730040184,0.38046258017861634,0.3114468375077614,0.26009637932981966,0.07436184615954845,0.6302497622069962,0.8710065801027258,0.054436330316126894,0.2554550424345538,0.08325812839176677,0.054668844096499296,0.17434979821427152,4.239790890194954,2,all,436,69.75257355576261,0.06562062367420951,0.13684620095427924,0.42045943233944955,2.700889657396789,3.6667987532025084,0.11733350443115476,3.956692389118562,0.5779828996559896,5.34291522136522,0.667331596803383,0.2384371125750993,1.0304294443694797,61.288283041857795,0.6179298449021119,3.0109587485363725,0.11543853194751871,0.1670359291973904,1.2645340200957902,0.2427514859500828,15.965895700892178,40.18915872836332,0.10885973947023499,0.9803238946458568,3.6196637801620937,0.9166363299644869,0.43500080466623137,0.1969531837343817
full_tree,1.7309692945235815,0.0709426749465812,0.23921107730040184,0.407224178314209,0.3114468375077614,0.27093128248667103,0.07042994872372374,0.6549173335616405,1.1418527181331928,0.0488258461571402,0.2554550424345538,0.08121517937407534,0.05281066676426647,0.1715946666832663,2.6298494257478633,2,hit_k1,234,70.34430088141026,0.07216273488588312,0.13868239286363634,0.4394030448717949,3.3007061298076925,2.0457083124380846,0.12251637583104973,2.3580358278038154,0.5897791450604414,3.766438008373619,0.7452387001015183,0.24151835896265814,1.1115314891705146,62.837769598023506,0.6734399992940773,3.1357698466023827,0.11658064933477813,0.16887781186363635,1.3738508051277225,0.2534034871138059,16.306565284729004,41.06484991872413,0.11033558944224292,0.9715971176668724,3.90575330124961,1.1258804800673428,0.45053962369759876,0.20536478659790805
full_tree,0.875105846959811,0.0701904296875,nan,0.35332061603474313,nan,0.23571784722690398,0.08320861539015403,0.5929255395268018,0.2616027695341752,0.04777630765994008,nan,0.07809599990455005,0.05085292304507815,0.16650184616446495,1.7074162409855769,2,hit_k2,104,66.74332369290866,0.07583630736917257,0.1327147691582258,0.44737830528846156,2.8267728365384617,1.1482483079800239,0.11891938459414703,1.4589366110471578,0.5640147712368232,2.841139072409043,0.4920406143825788,0.23150430820309198,0.8479498435671513,60.62798602764423,0.49303199752019,2.4019999853693523,0.11930738446804193,0.16289169319833702,1.3112243115901947,0.24802461510094312,15.886625583355244,40.12185852344219,0.10553907703321713,1.000686374263487,3.1651473882106633,1.0232067652619803,0.4000384618456547,0.17802707729144737
full_tree,9.86113368248453,0.10673429528061225,nan,0.34671239941380916,nan,nan,nan,0.6109590220208071,nan,0.07490057163700765,nan,0.09361436750207629,0.06315526537293074,0.1892568164942216,10.771354830994898,2,miss,98,71.53316326530613,0.03915853053331375,nan,0.34665975765306123,1.1350845025510203,10.21031313526387,0.10327510193598513,10.424572351027509,0.5646396744616178,11.762102847196617,nan,nan,nan,58.28921197385204,nan,3.359182365086614,0.10860571428677257,nan,0.9539634281275223,0.21172114203170855,15.236583554014867,38.16964324639768,nan,nan,3.4188959926975016,0.3039173871582868,nan,nan
full_tree,4.35531435387397,0.13583626003440366,0.39348239311550415,0.5793613247000254,0.5360213353847846,0.45318939673477376,0.1284209223320851,0.7971864231272575,1.4884364467841633,0.09458062403895166,0.4372196934926204,0.12734135761515264,0.08893416510091735,0.2796215046914892,5.586127884891055,3,all,436,71.27798209934059,0.07174055035217503,0.13748809488038338,0.42464789994266056,2.7155403347190368,5.055072955992244,0.1307680735347468,5.3635856900193275,0.5779490632885093,6.751785988107733,0.6861839526327405,0.23288852086610343,1.040212920343382,61.38611399799312,0.6368842607683683,3.0416593767634224,0.13063244039722538,0.16466755023193078,1.2666372114091837,0.24276814623436796,15.966338592931764,40.25912409966145,0.10590494682009403,0.9892685934253361,3.6547266767112485,0.895479266728283,0.42481950348650915,0.19299768067940454
full_tree,2.9535392782627006,0.12767928685897437,0.39348239311550415,0.6227628448357184,0.5360213353847846,0.47192943682018507,0.11962817071212663,0.8262055397797854,1.9476270711320078,0.0889333333246983,0.4372196934926204,0.12711644436941189,0.08664191442613418,0.28056519688704074,4.206192407852564,3,hit_k1,234,72.07789963942308,0.07924882028029005,0.13817217118210262,0.4416775173611111,3.3162393162393164,3.642315489614112,0.13478126501043639,3.9736722086229896,0.5814635189425232,5.368635359992329,0.7612918969402965,0.2342730943336446,1.1164590736739657,62.95143062232906,0.6942436925621114,3.184389067001832,0.13609244445195565,0.16510126497755703,1.3739697775270185,0.25333333263794583,16.308497106927074,41.14244058397081,0.1065024273454124,0.9783226829137861,3.9580203804195437,1.0881009241964064,0.43627692351483893,0.19860950456215784
full_tree,1.5168760023438013,0.1278357872596154,nan,0.5435942528435053,nan,0.4110243065425983,0.14820461347699165,0.7511206148908689,0.45525754200151336,0.08762892314161246,nan,0.12348430747022995,0.08964707695234281,0.2817984607357245,2.695988581730769,3,hit_k2,104,67.9968731219952,0.07748861549995266,0.13594892320151514,0.4536320612980769,2.8538348858173075,2.2014095364854884,0.12948246178432152,2.5254575392374625,0.5745335376033416,3.9328679832128377,0.5171910779407392,0.22977323056413576,0.8686590753495693,60.75661996694711,0.5078255392324466,2.461632305612931,0.12499999949851862,0.1636916920542717,1.3206769239443998,0.2478519999063932,15.885728982778696,40.17913139783419,0.1045606156381277,1.0148090512856194,3.2336956847172518,1.0212360007258563,0.3990403084227672,0.18037107694320953
full_tree,10.714630233998202,0.16380341198979592,nan,0.5165807994548232,nan,nan,nan,0.7767820431261646,nan,0.11544228649261046,nan,0.13197159143734952,0.09365093882898895,0.2750579597694533,11.948162468112244,3,miss,98,72.8499681122449,0.04771265302005471,nan,0.35322664221938777,1.134456712372449,11.456769310698217,0.12254987778712292,11.694249795407664,0.5731820433723683,13.045915778802366,nan,nan,nan,58.31655572385204,nan,3.3163947633334567,0.12357257207741543,nan,0.953005062682288,0.21214595847592063,15.234892747840103,38.234870871719046,nan,nan,3.3773439879320106,0.30208979547023773,nan,nan
p2_tree,2.6196943591781756,0.11636594742063493,nan,0.46352282389267985,nan,0.33010447069126014,0.11561819626127973,0.46942563192779513,0.36422431235219915,0.08130663023446423,nan,0.09858423571129775,0.07481063042435787,0.21404415379170658,3.4243418721655328,1,all,441,67.2438527494331,0.05101482078956774,0.14133552922045484,0.4380912521258503,1.5803859304138321,2.845123486386405,0.12739642626709408,3.1125686740388674,0.626142983736635,4.614826876560306,0.5067488643176415,0.22999748967441858,0.8598142745448094,60.61054200325964,0.5048109786767586,3.612320937537282,0.1292973425906667,0.16045490221357814,1.0232679180277178,0.23702733853912136,15.674952312391632,39.49318125891307,0.10675011787052248,0.939454612524613,3.8388082410743176,0.502960036468614,0.40150588312569785,0.17724580412694052
p2_tree,0.7002754510617724,0.11886106004901961,nan,0.4574405434778181,nan,nan,nan,0.4688134260037366,nan,0.08366883129757993,nan,0.09474170970566133,0.075960094174918,0.20781577977479673,1.4998468137254901,1,hit_k1,255,65.28282781862745,0.04557414895617495,nan,0.4324984681372549,1.2625536151960783,0.892813049695071,0.12956900400858298,1.15221433616152,0.6344617406527201,2.691052173165714,nan,nan,nan,60.89669500612745,nan,3.8288801772921692,0.12350130192205018,nan,0.9688739145503324,0.24163112371575599,15.730791809979607,39.55194470274682,nan,nan,3.8991828170477176,0.3673210986689025,nan,nan
