subset,group,question_id,turns,reason,uids,prompt_tokens_max,verify_steps,accept_len,hit,p1_hit,p2_hit,p1_al,p2_al,accept_len_delta,p2_hit_delta
postfull_forensic,summarization,258,1,p2_heavy,258_t0,1223.0,6.0,3.3333333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.5,1.5,-0.2018779342723005,0.07276995305164319
postfull_forensic,summarization,266,1,largest_al_gain,266_t0,1037.0,125.0,5.528,0.776,0.68,0.096,6.929411764705883,2.6666666666666665,4.528,0.096
postfull_forensic,summarization,268,1,smallest_al_gain,268_t0,280.0,1.0,1.0,0.0,0.0,0.0,nan,nan,-7.228571428571428,0.0
postfull_forensic,summarization,270,1,largest_p2_hit_drop,270_t0,875.0,1.0,1.0,0.0,0.0,0.0,nan,nan,-2.0,-0.6666666666666666
postfull_forensic,summarization,281,1,low_p2_al,281_t0,779.0,8.0,3.625,0.5,0.375,0.125,5.0,1.0,-0.13970588235294112,-0.08088235294117646
postfull_forensic,summarization,284,1,high_p2_al,284_t0,735.0,91.0,7.912087912087912,0.945054945054945,0.9120879120879121,0.03296703296703297,8.25301204819277,6.0,-0.25286054152033444,-0.008270080435028887
postfull_forensic,summarization,288,1,long_prompt,288_t0,1702.0,7.0,3.2857142857142856,0.5714285714285714,0.5714285714285714,0.0,2.25,nan,-2.7142857142857144,-0.25
postfull_forensic,summarization,299,1,many_verify_steps,299_t0,461.0,327.0,3.140672782874618,0.7064220183486238,0.5290519877675841,0.17737003058103976,3.3815028901734103,2.862068965517241,2.140672782874618,0.17737003058103976
postfull_forensic,qa,332,1,largest_p2_hit_drop,332_t0,15.0,137.0,7.481751824817518,0.9124087591240876,0.8832116788321168,0.029197080291970802,7.991735537190083,4.75,4.226432675881348,-0.28995185587824196
postfull_forensic,qa,344,1,high_p2_al,344_t0,12.0,152.0,6.769736842105263,0.7960526315789473,0.743421052631579,0.05263157894736842,7.495575221238938,5.25,2.2479977116704806,-0.10678871090770403
postfull_forensic,qa,345,1,long_prompt,345_t0,19.0,306.0,3.3627450980392157,0.630718954248366,0.5294117647058824,0.10130718954248366,3.9382716049382718,3.161290322580645,-2.422565636424061,0.0052619918023706636
postfull_forensic,qa,357,1,smallest_al_gain,357_t0,11.0,295.0,3.471186440677966,0.8101694915254237,0.6271186440677966,0.18305084745762712,3.7567567567567566,3.1296296296296298,-2.433575464083939,0.04019370460048427
postfull_forensic,qa,365,1,largest_al_gain,365_t0,12.0,146.0,7.061643835616438,0.9041095890410958,0.8356164383561644,0.0684931506849315,7.60655737704918,4.4,2.3457347447073476,-0.04514321295143213
postfull_forensic,qa,374,1,many_verify_steps,374_t0,13.0,341.0,3.0117302052785924,0.6451612903225806,0.49853372434017595,0.1466275659824047,3.3529411764705883,2.84,0.37255494754663365,-0.033784805151615915
