arm,uid,question_key,group,event_index,source_id,source,cached_accepted_len,fresh_greedy_al,fresh_first_token_nll,fresh_first_token_rank,completion_offset
audit_tree,85_t0,mt_bench:85,mt_bench,38,0,Miss (fresh JIT),1,1,3.2277166843414307,5,112
audit_tree,85_t0,mt_bench:85,mt_bench,39,2,P2,3,1,4.3119611740112305,14,113
audit_tree,85_t0,mt_bench:85,mt_bench,40,1,P1,9,1,1.229972243309021,2,116
audit_tree,85_t1,mt_bench:85,mt_bench,0,0,Miss (fresh JIT),1,3,1.111703634262085,1,1
audit_tree,85_t1,mt_bench:85,mt_bench,1,1,P1,2,2,0.33046188950538635,1,2
audit_tree,85_t1,mt_bench:85,mt_bench,2,2,P2,3,2,0.45571887493133545,1,4
audit_tree,85_t1,mt_bench:85,mt_bench,3,1,P1,3,2,0.05372849479317665,1,7
audit_tree,85_t1,mt_bench:85,mt_bench,4,2,P2,5,5,0.26934799551963806,1,10
audit_tree,85_t1,mt_bench:85,mt_bench,5,1,P1,1,1,4.263219356536865,9,15
audit_tree,85_t1,mt_bench:85,mt_bench,6,2,P2,3,1,2.7070846557617188,3,16
audit_tree,85_t1,mt_bench:85,mt_bench,7,1,P1,2,1,3.7454662322998047,4,19
audit_tree,85_t1,mt_bench:85,mt_bench,8,1,P1,1,1,2.983987808227539,5,21
audit_tree,85_t1,mt_bench:85,mt_bench,9,1,P1,6,1,3.5791847705841064,5,22
audit_tree,85_t1,mt_bench:85,mt_bench,10,0,Miss (fresh JIT),2,2,0.24960173666477203,1,28
audit_tree,85_t1,mt_bench:85,mt_bench,11,2,P2,1,1,7.336669445037842,71,30
audit_tree,85_t1,mt_bench:85,mt_bench,12,2,P2,2,2,0.6555172801017761,1,31
audit_tree,85_t1,mt_bench:85,mt_bench,13,2,P2,1,1,7.410508632659912,36,33
audit_tree,85_t1,mt_bench:85,mt_bench,14,0,Miss (fresh JIT),2,4,0.35882699489593506,1,34
audit_tree,85_t1,mt_bench:85,mt_bench,15,1,P1,2,2,0.7152768969535828,1,36
audit_tree,85_t1,mt_bench:85,mt_bench,16,1,P1,2,1,5.2274956703186035,17,38
audit_tree,85_t1,mt_bench:85,mt_bench,17,1,P1,3,2,0.9150722622871399,1,40
audit_tree,85_t1,mt_bench:85,mt_bench,18,2,P2,1,1,8.806046485900879,91,43
audit_tree,85_t1,mt_bench:85,mt_bench,19,2,P2,3,2,0.002174158114939928,1,44
audit_tree,85_t1,mt_bench:85,mt_bench,20,1,P1,3,1,1.4959208965301514,2,47
audit_tree,85_t1,mt_bench:85,mt_bench,21,2,P2,6,3,0.0769234374165535,1,50
audit_tree,85_t1,mt_bench:85,mt_bench,22,0,Miss (fresh JIT),5,3,0.0005830018781125546,1,56
audit_tree,85_t1,mt_bench:85,mt_bench,23,1,P1,9,8,1.0772210359573364,1,61
audit_tree,85_t1,mt_bench:85,mt_bench,24,0,Miss (fresh JIT),2,1,2.1838302612304688,3,70
audit_tree,85_t1,mt_bench:85,mt_bench,25,2,P2,2,2,0.3778204619884491,1,72
audit_tree,85_t1,mt_bench:85,mt_bench,26,1,P1,5,5,0.012309768237173557,1,74
audit_tree,85_t1,mt_bench:85,mt_bench,27,1,P1,1,1,6.891318321228027,35,79
audit_tree,85_t1,mt_bench:85,mt_bench,28,0,Miss (fresh JIT),6,5,0.007385570090264082,1,80
audit_tree,85_t1,mt_bench:85,mt_bench,29,0,Miss (fresh JIT),2,1,2.6877853870391846,3,86
audit_tree,85_t1,mt_bench:85,mt_bench,30,1,P1,4,4,0.0008089845650829375,1,88
audit_tree,85_t1,mt_bench:85,mt_bench,31,2,P2,3,1,1.7741132974624634,2,92
audit_tree,85_t1,mt_bench:85,mt_bench,32,1,P1,3,1,1.7685315608978271,3,95
audit_tree,85_t1,mt_bench:85,mt_bench,33,1,P1,2,2,0.0428563617169857,1,98
audit_tree,85_t1,mt_bench:85,mt_bench,34,1,P1,6,6,0.06476038694381714,1,100
audit_tree,85_t1,mt_bench:85,mt_bench,35,0,Miss (fresh JIT),5,5,0.5278171896934509,1,106
audit_tree,85_t1,mt_bench:85,mt_bench,36,1,P1,4,5,0.02282198891043663,1,111
audit_tree,85_t1,mt_bench:85,mt_bench,37,1,P1,9,1,1.685323715209961,2,115
audit_tree,86_t0,mt_bench:86,mt_bench,0,0,Miss (fresh JIT),1,1,7.718660831451416,80,1
audit_tree,86_t0,mt_bench:86,mt_bench,1,0,Miss (fresh JIT),2,1,2.623278856277466,3,2
audit_tree,86_t0,mt_bench:86,mt_bench,2,2,P2,3,3,0.01267402246594429,1,4
audit_tree,86_t0,mt_bench:86,mt_bench,3,2,P2,2,1,3.5220723152160645,5,7
audit_tree,86_t0,mt_bench:86,mt_bench,4,2,P2,1,1,4.9214277267456055,17,9
audit_tree,86_t0,mt_bench:86,mt_bench,5,0,Miss (fresh JIT),3,3,0.013629237189888954,1,10
audit_tree,86_t0,mt_bench:86,mt_bench,6,0,Miss (fresh JIT),4,4,0.15337388217449188,1,13
audit_tree,86_t0,mt_bench:86,mt_bench,7,1,P1,2,1,1.079607367515564,2,17
audit_tree,86_t0,mt_bench:86,mt_bench,8,1,P1,3,3,0.0017584589077159762,1,19
audit_tree,86_t0,mt_bench:86,mt_bench,9,0,Miss (fresh JIT),5,3,1.5139465176616795e-05,1,22
audit_tree,86_t0,mt_bench:86,mt_bench,10,1,P1,7,5,0.26340052485466003,1,27
audit_tree,86_t0,mt_bench:86,mt_bench,11,0,Miss (fresh JIT),5,4,0.46588003635406494,1,34
audit_tree,86_t0,mt_bench:86,mt_bench,12,1,P1,2,2,0.14717140793800354,1,39
audit_tree,86_t0,mt_bench:86,mt_bench,13,2,P2,1,1,1.7883501052856445,3,41
audit_tree,86_t0,mt_bench:86,mt_bench,14,1,P1,5,1,1.3615944385528564,2,42
audit_tree,86_t0,mt_bench:86,mt_bench,15,1,P1,3,3,0.006053328514099121,1,47
audit_tree,86_t0,mt_bench:86,mt_bench,16,0,Miss (fresh JIT),1,1,1.1714054346084595,2,50
audit_tree,86_t0,mt_bench:86,mt_bench,17,1,P1,2,2,0.00366337806917727,1,51
